"Year","Geography","DGUID","MedianAfterTaxIncome"
"2012","Newfoundland and Labrador","2021A000210","33200"
"2012","Prince Edward Island","2021A000211","33900"
"2012","Nova Scotia","2021A000212","34100"
"2012","New Brunswick","2021A000213","32900"
"2012","Quebec","2021A000224","34500"
"2012","Ontario","2021A000235","36000"
"2012","Manitoba","2021A000246","35500"
"2012","Saskatchewan","2021A000247","41000"
"2012","Alberta","2021A000248","45400"
"2012","British Columbia","2021A000259","34800"
"2013","Newfoundland and Labrador","2021A000210","35400"
"2013","Prince Edward Island","2021A000211","34500"
"2013","Nova Scotia","2021A000212","35100"
"2013","New Brunswick","2021A000213","34200"
"2013","Quebec","2021A000224","35200"
"2013","Ontario","2021A000235","36000"
"2013","Manitoba","2021A000246","37700"
"2013","Saskatchewan","2021A000247","41300"
"2013","Alberta","2021A000248","46000"
"2013","British Columbia","2021A000259","35700"
"2014","Newfoundland and Labrador","2021A000210","35400"
"2014","Prince Edward Island","2021A000211","34500"
"2014","Nova Scotia","2021A000212","35200"
"2014","New Brunswick","2021A000213","35100"
"2014","Quebec","2021A000224","36000"
"2014","Ontario","2021A000235","37200"
"2014","Manitoba","2021A000246","37600"
"2014","Saskatchewan","2021A000247","43000"
"2014","Alberta","2021A000248","46000"
"2014","British Columbia","2021A000259","36700"
"2015","Newfoundland and Labrador","2021A000210","34700"
"2015","Prince Edward Island","2021A000211","35300"
"2015","Nova Scotia","2021A000212","34600"
"2015","New Brunswick","2021A000213","34400"
"2015","Quebec","2021A000224","35700"
"2015","Ontario","2021A000235","36900"
"2015","Manitoba","2021A000246","37900"
"2015","Saskatchewan","2021A000247","43200"
"2015","Alberta","2021A000248","45100"
"2015","British Columbia","2021A000259","35900"
"2016","Newfoundland and Labrador","2021A000210","35000"
"2016","Prince Edward Island","2021A000211","34300"
"2016","Nova Scotia","2021A000212","35700"
"2016","New Brunswick","2021A000213","35200"
"2016","Quebec","2021A000224","36500"
"2016","Ontario","2021A000235","37200"
"2016","Manitoba","2021A000246","37600"
"2016","Saskatchewan","2021A000247","42200"
"2016","Alberta","2021A000248","42700"
"2016","British Columbia","2021A000259","36800"
"2017","Newfoundland and Labrador","2021A000210","35400"
"2017","Prince Edward Island","2021A000211","35500"
"2017","Nova Scotia","2021A000212","35700"
"2017","New Brunswick","2021A000213","35500"
"2017","Quebec","2021A000224","37200"
"2017","Ontario","2021A000235","38100"
"2017","Manitoba","2021A000246","38000"
"2017","Saskatchewan","2021A000247","41800"
"2017","Alberta","2021A000248","44900"
