"Date","Geography","DGUID","Population"
"2021-01-01","Newfoundland and Labrador","2021A000210","525895"
"2021-01-01","Prince Edward Island","2021A000211","159240"
"2021-01-01","Nova Scotia","2021A000212","990025"
"2021-01-01","New Brunswick","2021A000213","784950"
"2021-01-01","Quebec","2021A000224","8550561"
"2021-01-01","Ontario","2021A000235","14772726"
"2021-01-01","Manitoba","2021A000246","1383854"
"2021-01-01","Saskatchewan","2021A000247","1166348"
"2021-01-01","Alberta","2021A000248","4418338"
"2021-01-01","British Columbia","2021A000259","5180015"
"2021-01-01","Yukon","2021A000260","42157"
"2021-01-01","Northwest Territories","2021A000261","44432"
"2021-01-01","Nunavut","2021A000262","39750"
"2021-04-01","Newfoundland and Labrador","2021A000210","526195"
"2021-04-01","Prince Edward Island","2021A000211","160334"
"2021-04-01","Nova Scotia","2021A000212","993946"
"2021-04-01","New Brunswick","2021A000213","787002"
"2021-04-01","Quebec","2021A000224","8556015"
"2021-04-01","Ontario","2021A000235","14808093"
"2021-04-01","Manitoba","2021A000246","1388611"
"2021-04-01","Saskatchewan","2021A000247","1167711"
"2021-04-01","Alberta","2021A000248","4425617"
"2021-04-01","British Columbia","2021A000259","5200393"
"2021-04-01","Yukon","2021A000260","42443"
"2021-04-01","Northwest Territories","2021A000261","44679"
"2021-04-01","Nunavut","2021A000262","39879"
"2021-07-01","Newfoundland and Labrador","2021A000210","527056"
"2021-07-01","Prince Edward Island","2021A000211","162133"
"2021-07-01","Nova Scotia","2021A000212","999908"
"2021-07-01","New Brunswick","2021A000213","790802"
"2021-07-01","Quebec","2021A000224","8572020"
"2021-07-01","Ontario","2021A000235","14842488"
"2021-07-01","Manitoba","2021A000246","1391924"
"2021-07-01","Saskatchewan","2021A000247","1167711"
"2021-07-01","Alberta","2021A000248","4431531"
"2021-07-01","British Columbia","2021A000259","5226665"
"2021-07-01","Yukon","2021A000260","42961"
"2021-07-01","Northwest Territories","2021A000261","44579"
"2021-07-01","Nunavut","2021A000262","40086"
"2021-10-01","Newfoundland and Labrador","2021A000210","528342"
"2021-10-01","Prince Edward Island","2021A000211","163580"
"2021-10-01","Nova Scotia","2021A000212","1006562"
"2021-10-01","New Brunswick","2021A000213","795691"
"2021-10-01","Quebec","2021A000224","8604508"
"2021-10-01","Ontario","2021A000235","14947417"
"2021-10-01","Manitoba","2021A000246","1396656"
"2021-10-01","Saskatchewan","2021A000247","1168934"
"2021-10-01","Alberta","2021A000248","4451129"
"2021-10-01","British Columbia","2021A000259","5269491"
"2021-10-01","Yukon","2021A000260","43129"
"2021-10-01","Northwest Territories","2021A000261","44573"
"2021-10-01","Nunavut","2021A000262","40245"
"2022-01-01","Newfoundland and Labrador","2021A000210","529008"
"2022-01-01","Prince Edward Island","2021A000211","164058"
"2022-01-01","Nova Scotia","2021A000212","1009355"
"2022-01-01","New Brunswick","2021A000213","798414"
"2022-01-01","Quebec","2021A000224","8613282"
"2022-01-01","Ontario","2021A000235","14997903"
"2022-01-01","Manitoba","2021A000246","1400367"
"2022-01-01","Saskatchewan","2021A000247","1171063"
"2022-01-01","Alberta","2021A000248","4466136"
"2022-01-01","British Columbia","2021A000259","5287664"
"2022-01-01","Yukon","2021A000260","43046"
"2022-01-01","Northwest Territories","2021A000261","44741"
"2022-01-01","Nunavut","2021A000262","40343"
"2022-04-01","Newfoundland and Labrador","2021A000210","529054"
"2022-04-01","Prince Edward Island","2021A000211","165396"
"2022-04-01","Nova Scotia","2021A000212","1013351"
"2022-04-01","New Brunswick","2021A000213","801319"
"2022-04-01","Quebec","2021A000224","8628480"
"2022-04-01","Ontario","2021A000235","15051975"
"2022-04-01","Manitoba","2021A000246","1404837"
"2022-04-01","Saskatchewan","2021A000247","1173461"
"2022-04-01","Alberta","2021A000248","4482503"
"2022-04-01","British Columbia","2021A000259","5313881"
"2022-04-01","Yukon","2021A000260","43400"
"2022-04-01","Northwest Territories","2021A000261","44773"
"2022-04-01","Nunavut","2021A000262","40579"
"2022-07-01","Newfoundland and Labrador","2021A000210","531257"
"2022-07-01","Prince Edward Island","2021A000211","167200"
"2022-07-01","Nova Scotia","2021A000212","1024034"
"2022-07-01","New Brunswick","2021A000213","808869"
"2022-07-01","Quebec","2021A000224","8669963"
"2022-07-01","Ontario","2021A000235","15155836"
"2022-07-01","Manitoba","2021A000246","1413498"
"2022-07-01","Saskatchewan","2021A000247","1178796"
"2022-07-01","Alberta","2021A000248","4512731"
"2022-07-01","British Columbia","2021A000259","5358845"
"2022-07-01","Yukon","2021A000260","43869"
"2022-07-01","Northwest Territories","2021A000261","44631"
"2022-07-01","Nunavut","2021A000262","40603"
"2022-10-01","Newfoundland and Labrador","2021A000210","533194"
"2022-10-01","Prince Edward Island","2021A000211","168939"
"2022-10-01","Nova Scotia","2021A000212","1033146"
"2022-10-01","New Brunswick","2021A000213","816420"
"2022-10-01","Quebec","2021A000224","8718914"
"2022-10-01","Ontario","2021A000235","15305369"
"2022-10-01","Manitoba","2021A000246","1424475"
"2022-10-01","Saskatchewan","2021A000247","1188295"
"2022-10-01","Alberta","2021A000248","4560275"
"2022-10-01","British Columbia","2021A000259","5406059"
"2022-10-01","Yukon","2021A000260","44169"
"2022-10-01","Northwest Territories","2021A000261","44559"
"2022-10-01","Nunavut","2021A000262","40677"
"2023-01-01","Newfoundland and Labrador","2021A000210","535147"
"2023-01-01","Prince Edward Island","2021A000211","169942"
"2023-01-01","Nova Scotia","2021A000212","1036868"
"2023-01-01","New Brunswick","2021A000213","819414"
"2023-01-01","Quebec","2021A000224","8742975"
"2023-01-01","Ontario","2021A000235","15407970"
"2023-01-01","Manitoba","2021A000246","1433655"
"2023-01-01","Saskatchewan","2021A000247","1195840"
"2023-01-01","Alberta","2021A000248","4596901"
"2023-01-01","British Columbia","2021A000259","5432939"
"2023-01-01","Yukon","2021A000260","44478"
"2023-01-01","Northwest Territories","2021A000261","44403"
"2023-01-01","Nunavut","2021A000262","40797"
"2023-04-01","Newfoundland and Labrador","2021A000210","536635"
"2023-04-01","Prince Edward Island","2021A000211","171736"
"2023-04-01","Nova Scotia","2021A000212","1043723"
"2023-04-01","New Brunswick","2021A000213","824150"
"2023-04-01","Quebec","2021A000224","8772140"
"2023-04-01","Ontario","2021A000235","15495050"
"2023-04-01","Manitoba","2021A000246","1444049"
"2023-04-01","Saskatchewan","2021A000247","1201624"
"2023-04-01","Alberta","2021A000248","4641615"
"2023-04-01","British Columbia","2021A000259","5466566"
"2023-04-01","Yukon","2021A000260","44823"
"2023-04-01","Northwest Territories","2021A000261","44402"
"2023-04-01","Nunavut","2021A000262","40784"
"2023-07-01","Newfoundland and Labrador","2021A000210","538789"
"2023-07-01","Prince Edward Island","2021A000211","173734"
"2023-07-01","Nova Scotia","2021A000212","1053005"
"2023-07-01","New Brunswick","2021A000213","831103"
"2023-07-01","Quebec","2021A000224","8821696"
"2023-07-01","Ontario","2021A000235","15632481"
"2023-07-01","Manitoba","2021A000246","1453202"
"2023-07-01","Saskatchewan","2021A000247","1210257"
"2023-07-01","Alberta","2021A000248","4688576"
"2023-07-01","British Columbia","2021A000259","5515296"
"2023-07-01","Yukon","2021A000260","45419"
"2023-07-01","Northwest Territories","2021A000261","44614"
"2023-07-01","Nunavut","2021A000262","40916"
"2023-10-01","Newfoundland and Labrador","2021A000210","541126"
"2023-10-01","Prince Edward Island","2021A000211","176173"
"2023-10-01","Nova Scotia","2021A000212","1062825"
"2023-10-01","New Brunswick","2021A000213","840130"
"2023-10-01","Quebec","2021A000224","8882501"
"2023-10-01","Ontario","2021A000235","15823956"
"2023-10-01","Manitoba","2021A000246","1462439"
"2023-10-01","Saskatchewan","2021A000247","1222152"
"2023-10-01","Alberta","2021A000248","4752173"
"2023-10-01","British Columbia","2021A000259","5572694"
"2023-10-01","Yukon","2021A000260","45898"
"2023-10-01","Northwest Territories","2021A000261","44566"
"2023-10-01","Nunavut","2021A000262","41089"
"2024-01-01","Newfoundland and Labrador","2021A000210","542449"
"2024-01-01","Prince Edward Island","2021A000211","176757"
"2024-01-01","Nova Scotia","2021A000212","1067878"
"2024-01-01","New Brunswick","2021A000213","844859"
"2024-01-01","Quebec","2021A000224","8909038"
"2024-01-01","Ontario","2021A000235","15946146"
"2024-01-01","Manitoba","2021A000246","1472261"
"2024-01-01","Saskatchewan","2021A000247","1230316"
"2024-01-01","Alberta","2021A000248","4801806"
"2024-01-01","British Columbia","2021A000259","5601024"
"2024-01-01","Yukon","2021A000260","46286"
"2024-01-01","Northwest Territories","2021A000261","44655"
