"Date","Geography","DGUID","RetailSalesThousands"
"2021-01-01","Newfoundland and Labrador","2021A000210","111158"
"2021-01-01","Prince Edward Island","2021A000211","36932"
"2021-01-01","Nova Scotia","2021A000212","222208"
"2021-01-01","New Brunswick","2021A000213","168634"
"2021-01-01","Quebec","2021A000224","2138591"
"2021-01-01","Ontario","2021A000235","3141812"
"2021-01-01","Manitoba","2021A000246","343457"
"2021-01-01","Saskatchewan","2021A000247","227415"
"2021-01-01","Alberta","2021A000248","1038547"
"2021-01-01","British Columbia","2021A000259","1274074"
"2021-01-01","Nunavut","2021A000262","34809"
"2021-02-01","Newfoundland and Labrador","2021A000210","110040"
"2021-02-01","Prince Edward Island","2021A000211","33845"
"2021-02-01","Nova Scotia","2021A000212","204186"
"2021-02-01","New Brunswick","2021A000213","144733"
"2021-02-01","Quebec","2021A000224","1742324"
"2021-02-01","Ontario","2021A000235","2757696"
"2021-02-01","Manitoba","2021A000246","308187"
"2021-02-01","Saskatchewan","2021A000247","206169"
"2021-02-01","Alberta","2021A000248","933967"
"2021-02-01","British Columbia","2021A000259","1162496"
"2021-02-01","Nunavut","2021A000262","32864"
"2021-03-01","Newfoundland and Labrador","2021A000210","114906"
"2021-03-01","Prince Edward Island","2021A000211","37100"
"2021-03-01","Nova Scotia","2021A000212","218338"
"2021-03-01","New Brunswick","2021A000213","158646"
"2021-03-01","Quebec","2021A000224","1867727"
"2021-03-01","Ontario","2021A000235","2870143"
"2021-03-01","Manitoba","2021A000246","320150"
"2021-03-01","Saskatchewan","2021A000247","237981"
"2021-03-01","Alberta","2021A000248","981604"
"2021-03-01","British Columbia","2021A000259","1198947"
"2021-03-01","Nunavut","2021A000262","39090"
"2021-04-01","Newfoundland and Labrador","2021A000210","109280"
"2021-04-01","Prince Edward Island","2021A000211","36776"
"2021-04-01","Nova Scotia","2021A000212","220724"
"2021-04-01","New Brunswick","2021A000213","162866"
"2021-04-01","Quebec","2021A000224","1933203"
"2021-04-01","Ontario","2021A000235","2988037"
"2021-04-01","Manitoba","2021A000246","316762"
"2021-04-01","Saskatchewan","2021A000247","230838"
"2021-04-01","Alberta","2021A000248","1015755"
"2021-04-01","British Columbia","2021A000259","1233872"
"2021-04-01","Nunavut","2021A000262","37437"
"2021-05-01","Newfoundland and Labrador","2021A000210","120667"
"2021-05-01","Prince Edward Island","2021A000211","39081"
"2021-05-01","Nova Scotia","2021A000212","246909"
"2021-05-01","New Brunswick","2021A000213","171442"
"2021-05-01","Quebec","2021A000224","2038288"
"2021-05-01","Ontario","2021A000235","3129990"
"2021-05-01","Manitoba","2021A000246","343706"
"2021-05-01","Saskatchewan","2021A000247","255736"
"2021-05-01","Alberta","2021A000248","1066408"
"2021-05-01","British Columbia","2021A000259","1304945"
"2021-05-01","Nunavut","2021A000262","37806"
"2021-06-01","Newfoundland and Labrador","2021A000210","112777"
"2021-06-01","Prince Edward Island","2021A000211","38705"
"2021-06-01","Nova Scotia","2021A000212","233303"
"2021-06-01","New Brunswick","2021A000213","159471"
"2021-06-01","Quebec","2021A000224","1918390"
"2021-06-01","Ontario","2021A000235","2914819"
"2021-06-01","Manitoba","2021A000246","339018"
"2021-06-01","Saskatchewan","2021A000247","246954"
"2021-06-01","Alberta","2021A000248","1006636"
"2021-06-01","British Columbia","2021A000259","1222338"
"2021-06-01","Nunavut","2021A000262","36353"
"2021-07-01","Newfoundland and Labrador","2021A000210","118141"
"2021-07-01","Prince Edward Island","2021A000211","43015"
"2021-07-01","Nova Scotia","2021A000212","243718"
"2021-07-01","New Brunswick","2021A000213","175930"
"2021-07-01","Quebec","2021A000224","1960056"
"2021-07-01","Ontario","2021A000235","3007993"
"2021-07-01","Manitoba","2021A000246","344469"
"2021-07-01","Saskatchewan","2021A000247","252336"
"2021-07-01","Alberta","2021A000248","1027918"
"2021-07-01","British Columbia","2021A000259","1294311"
"2021-07-01","Nunavut","2021A000262","36006"
"2021-08-01","Newfoundland and Labrador","2021A000210","119646"
"2021-08-01","Prince Edward Island","2021A000211","42391"
"2021-08-01","Nova Scotia","2021A000212","231268"
"2021-08-01","New Brunswick","2021A000213","164238"
"2021-08-01","Quebec","2021A000224","1891906"
"2021-08-01","Ontario","2021A000235","2831490"
"2021-08-01","Manitoba","2021A000246","304638"
"2021-08-01","Saskatchewan","2021A000247","228799"
"2021-08-01","Alberta","2021A000248","962083"
"2021-08-01","British Columbia","2021A000259","1241096"
"2021-08-01","Nunavut","2021A000262","35225"
"2021-09-01","Newfoundland and Labrador","2021A000210","114934"
"2021-09-01","Prince Edward Island","2021A000211","41274"
"2021-09-01","Nova Scotia","2021A000212","228160"
"2021-09-01","New Brunswick","2021A000213","164024"
"2021-09-01","Quebec","2021A000224","1864999"
"2021-09-01","Ontario","2021A000235","2957457"
"2021-09-01","Manitoba","2021A000246","295009"
"2021-09-01","Saskatchewan","2021A000247","246093"
"2021-09-01","Alberta","2021A000248","900633"
"2021-09-01","British Columbia","2021A000259","1249172"
"2021-09-01","Nunavut","2021A000262","35227"
"2021-10-01","Newfoundland and Labrador","2021A000210","118458"
"2021-10-01","Prince Edward Island","2021A000211","41536"
"2021-10-01","Nova Scotia","2021A000212","237880"
"2021-10-01","New Brunswick","2021A000213","161645"
"2021-10-01","Quebec","2021A000224","1944028"
"2021-10-01","Ontario","2021A000235","3065683"
"2021-10-01","Manitoba","2021A000246","312813"
"2021-10-01","Saskatchewan","2021A000247","255782"
"2021-10-01","Alberta","2021A000248","969418"
"2021-10-01","British Columbia","2021A000259","1280819"
"2021-10-01","Nunavut","2021A000262","36627"
"2021-11-01","Newfoundland and Labrador","2021A000210","112094"
"2021-11-01","Prince Edward Island","2021A000211","37413"
"2021-11-01","Nova Scotia","2021A000212","225891"
"2021-11-01","New Brunswick","2021A000213","157829"
"2021-11-01","Quebec","2021A000224","1870535"
"2021-11-01","Ontario","2021A000235","2889273"
"2021-11-01","Manitoba","2021A000246","295539"
"2021-11-01","Saskatchewan","2021A000247","240753"
"2021-11-01","Alberta","2021A000248","924034"
"2021-11-01","British Columbia","2021A000259","1244352"
"2021-11-01","Nunavut","2021A000262","36827"
"2021-12-01","Newfoundland and Labrador","2021A000210","136839"
"2021-12-01","Prince Edward Island","2021A000211","42513"
"2021-12-01","Nova Scotia","2021A000212","260894"
"2021-12-01","New Brunswick","2021A000213","180538"
"2021-12-01","Quebec","2021A000224","2185119"
"2021-12-01","Ontario","2021A000235","3203716"
"2021-12-01","Manitoba","2021A000246","307455"
"2021-12-01","Saskatchewan","2021A000247","275616"
"2021-12-01","Alberta","2021A000248","924198"
"2021-12-01","British Columbia","2021A000259","1320774"
"2021-12-01","Nunavut","2021A000262","41786"
"2022-01-01","Newfoundland and Labrador","2021A000210","119096"
"2022-01-01","Prince Edward Island","2021A000211","40331"
"2022-01-01","Nova Scotia","2021A000212","240392"
"2022-01-01","New Brunswick","2021A000213","169653"
"2022-01-01","Quebec","2021A000224","1973936"
"2022-01-01","Ontario","2021A000235","3061841"
"2022-01-01","Manitoba","2021A000246","286336"
"2022-01-01","Saskatchewan","2021A000247","254302"
"2022-01-01","Alberta","2021A000248","875307"
"2022-01-01","British Columbia","2021A000259","1168530"
"2022-01-01","Yukon","2021A000260","16513"
"2022-01-01","Northwest Territories","2021A000261","21357"
"2022-01-01","Nunavut","2021A000262","35772"
"2022-02-01","Newfoundland and Labrador","2021A000210","110587"
"2022-02-01","Prince Edward Island","2021A000211","37196"
"2022-02-01","Nova Scotia","2021A000212","216201"
"2022-02-01","New Brunswick","2021A000213","149673"
"2022-02-01","Quebec","2021A000224","1796419"
"2022-02-01","Ontario","2021A000235","2694049"
"2022-02-01","Manitoba","2021A000246","262568"
"2022-02-01","Saskatchewan","2021A000247","230101"
"2022-02-01","Alberta","2021A000248","783868"
"2022-02-01","British Columbia","2021A000259","1082491"
"2022-02-01","Yukon","2021A000260","15466"
"2022-02-01","Northwest Territories","2021A000261","20307"
"2022-02-01","Nunavut","2021A000262","33346"
"2022-03-01","Newfoundland and Labrador","2021A000210","118679"
"2022-03-01","Prince Edward Island","2021A000211","38821"
"2022-03-01","Nova Scotia","2021A000212","227812"
"2022-03-01","New Brunswick","2021A000213","160616"
"2022-03-01","Quebec","2021A000224","1945529"
"2022-03-01","Ontario","2021A000235","2995193"
"2022-03-01","Manitoba","2021A000246","308204"
"2022-03-01","Saskatchewan","2021A000247","267403"
"2022-03-01","Alberta","2021A000248","918829"
"2022-03-01","British Columbia","2021A000259","1230395"
"2022-03-01","Yukon","2021A000260","17387"
"2022-03-01","Northwest Territories","2021A000261","23429"
"2022-03-01","Nunavut","2021A000262","40407"
"2022-04-01","Newfoundland and Labrador","2021A000210","118106"
"2022-04-01","Prince Edward Island","2021A000211","39075"
"2022-04-01","Nova Scotia","2021A000212","229698"
"2022-04-01","New Brunswick","2021A000213","162368"
"2022-04-01","Quebec","2021A000224","1932059"
"2022-04-01","Ontario","2021A000235","3057636"
"2022-04-01","Manitoba","2021A000246","309607"
"2022-04-01","Saskatchewan","2021A000247","264055"
"2022-04-01","Alberta","2021A000248","932273"
"2022-04-01","British Columbia","2021A000259","1249786"
"2022-04-01","Yukon","2021A000260","17966"
"2022-04-01","Northwest Territories","2021A000261","23013"
"2022-04-01","Nunavut","2021A000262","37740"
"2022-05-01","Newfoundland and Labrador","2021A000210","124130"
"2022-05-01","Prince Edward Island","2021A000211","41171"
"2022-05-01","Nova Scotia","2021A000212","241489"
"2022-05-01","New Brunswick","2021A000213","166690"
"2022-05-01","Quebec","2021A000224","2037565"
"2022-05-01","Ontario","2021A000235","3013321"
"2022-05-01","Manitoba","2021A000246","315101"
"2022-05-01","Saskatchewan","2021A000247","270979"
"2022-05-01","Alberta","2021A000248","963749"
"2022-05-01","British Columbia","2021A000259","1258311"
"2022-05-01","Yukon","2021A000260","18561"
"2022-05-01","Northwest Territories","2021A000261","23479"
"2022-05-01","Nunavut","2021A000262","36781"
"2022-06-01","Newfoundland and Labrador","2021A000210","123442"
"2022-06-01","Prince Edward Island","2021A000211","43057"
"2022-06-01","Nova Scotia","2021A000212","238113"
"2022-06-01","New Brunswick","2021A000213","166568"
"2022-06-01","Quebec","2021A000224","2050821"
"2022-06-01","Ontario","2021A000235","2987111"
"2022-06-01","Manitoba","2021A000246","320796"
"2022-06-01","Saskatchewan","2021A000247","273356"
"2022-06-01","Alberta","2021A000248","942878"
"2022-06-01","British Columbia","2021A000259","1251967"
"2022-06-01","Yukon","2021A000260","19551"
"2022-06-01","Northwest Territories","2021A000261","23006"
"2022-06-01","Nunavut","2021A000262","36492"
"2022-07-01","Newfoundland and Labrador","2021A000210","130593"
"2022-07-01","Prince Edward Island","2021A000211","49003"
"2022-07-01","Nova Scotia","2021A000212","252206"
"2022-07-01","New Brunswick","2021A000213","175316"
"2022-07-01","Quebec","2021A000224","2065261"
"2022-07-01","Ontario","2021A000235","3063947"
"2022-07-01","Manitoba","2021A000246","334806"
"2022-07-01","Saskatchewan","2021A000247","281165"
"2022-07-01","Alberta","2021A000248","968789"
"2022-07-01","British Columbia","2021A000259","1366507"
"2022-07-01","Yukon","2021A000260","19346"
"2022-07-01","Northwest Territories","2021A000261","22263"
"2022-07-01","Nunavut","2021A000262","35635"
"2022-08-01","Newfoundland and Labrador","2021A000210","126470"
"2022-08-01","Prince Edward Island","2021A000211","48414"
"2022-08-01","Nova Scotia","2021A000212","247165"
"2022-08-01","New Brunswick","2021A000213","167960"
"2022-08-01","Quebec","2021A000224","2027406"
"2022-08-01","Ontario","2021A000235","2955791"
"2022-08-01","Manitoba","2021A000246","315648"
"2022-08-01","Saskatchewan","2021A000247","253837"
"2022-08-01","Alberta","2021A000248","955099"
"2022-08-01","British Columbia","2021A000259","1291373"
"2022-08-01","Yukon","2021A000260","19123"
"2022-08-01","Northwest Territories","2021A000261","22925"
"2022-08-01","Nunavut","2021A000262","36083"
"2022-09-01","Newfoundland and Labrador","2021A000210","121222"
"2022-09-01","Prince Edward Island","2021A000211","43815"
"2022-09-01","Nova Scotia","2021A000212","243642"
"2022-09-01","New Brunswick","2021A000213","164115"
"2022-09-01","Quebec","2021A000224","1995939"
"2022-09-01","Ontario","2021A000235","2967589"
"2022-09-01","Manitoba","2021A000246","314528"
"2022-09-01","Saskatchewan","2021A000247","254537"
"2022-09-01","Alberta","2021A000248","953704"
"2022-09-01","British Columbia","2021A000259","1239813"
"2022-09-01","Yukon","2021A000260","18338"
"2022-09-01","Northwest Territories","2021A000261","24559"
"2022-09-01","Nunavut","2021A000262","36214"
"2022-10-01","Newfoundland and Labrador","2021A000210","122441"
"2022-10-01","Prince Edward Island","2021A000211","46829"
"2022-10-01","Nova Scotia","2021A000212","249142"
"2022-10-01","New Brunswick","2021A000213","164446"
"2022-10-01","Quebec","2021A000224","2076386"
"2022-10-01","Ontario","2021A000235","3051643"
"2022-10-01","Manitoba","2021A000246","327961"
"2022-10-01","Saskatchewan","2021A000247","258755"
"2022-10-01","Alberta","2021A000248","988611"
"2022-10-01","British Columbia","2021A000259","1301845"
"2022-10-01","Yukon","2021A000260","18347"
"2022-10-01","Northwest Territories","2021A000261","23654"
"2022-10-01","Nunavut","2021A000262","38787"
