city,province_code,province,latitude,longitude,rent_1br,rent_2br,monthly_food_per_person
Vancouver,BC,British Columbia,49.2827,-123.1207,1807.0,2364.0,410.63208333333336
Calgary,AB,Alberta,51.0447,-114.0719,1581.0,1908.0,406.3475
Edmonton,AB,Alberta,53.5461,-113.4938,1301.0,1598.0,406.3475
Saskatoon,SK,Saskatchewan,52.1579,-106.6702,1281.0,1559.0,392.93041666666664
Winnipeg,MB,Manitoba,49.8954,-97.1385,1232.0,1570.0,391.29999999999995
Toronto,ON,Ontario,43.6532,-79.3832,1761.0,2045.0,380.5208333333333
Ottawa,ON,Ontario,45.4215,-75.6972,1593.0,1916.0,380.5208333333333
Montreal,QC,Quebec,45.5019,-73.5674,1131.0,1346.0,366.84375
Halifax,NS,Nova Scotia,44.6488,-63.5752,1539.0,1828.0,395.64416666666665
Moncton,NB,New Brunswick,46.0878,-64.7782,1164.0,1452.0,392.26416666666665
