"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Canada Mortgage and Housing Corporation, average rents for areas with a population of 10,000 and over","34100133","027-0040","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013301",1;2;5,"CURRENT - a cube available to the public and that is current","Annual","1987-01-01","2025-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Type of structure",,""
"3","Type of unit",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Carbonear, Newfoundland and Labrador","[1001370]","1","","t",,
"1","Corner Brook, Newfoundland and Labrador","[015]","2","","",,
"1","Gander, Newfoundland and Labrador","[1006009]","3","","",,
"1","Grand Falls-Windsor, Newfoundland and Labrador","[010]","4","","",,
"1","Labrador City, Newfoundland and Labrador","[1010032]","5","","t",,
"1","St. John's, Newfoundland and Labrador","[001]","6","","",,
"1","Charlottetown, Prince Edward Island","[105]","7","","",,
"1","Summerside, Prince Edward Island","[110]","8","","",,
"1","Cape Breton, Nova Scotia","[225]","9","","",,
"1","Halifax, Nova Scotia","[205]","10","","",,
"1","Kentville, Nova Scotia","[210]","11","","",3,
"1","Kentville, Nova Scotia","[210]","12","","t",3,
"1","New Glasgow, Nova Scotia","[220]","13","","",,
"1","Truro, Nova Scotia","[215]","14","","",,
"1","Bathurst, New Brunswick","[328]","15","","",,
"1","Campbellton, New Brunswick part, New Brunswick/Quebec","[13330]","16","","",,
"1","Edmundston, New Brunswick","[335]","17","","",,
"1","Fredericton, New Brunswick","[320]","18","","",,
"1","Miramichi, New Brunswick","[329]","19","","",,
"1","Moncton, New Brunswick","[305]","20","","",,
"1","Oromocto, New Brunswick","[1303012]","21","","t",,
"1","Saint John, New Brunswick","[310]","22","","",,
"1","Alma, Quebec","[410]","23","","",,
"1","Amos, Quebec","[481]","24","","",,
"1","Asbestos, Quebec","[2440043]","25","","t",,
"1","Baie-Comeau, Quebec","[406]","26","","",,
"1","Bécancour, Quebec","[2438010]","27","","t",,
"1","Campbellton, Quebec part, New-Brunswick/Quebec","[24330]","28","","",,
"1","Chibougamau, Quebec","[2499025]","29","","t",,
"1","Saguenay, Quebec","[408]","30","","",,
