facility_name,facility_type,city,province,latitude,longitude,provider
alberta children's hospital,Hospitals,Calgary,AB,51.1267877,-114.1329645,Public Health Agency of Canada
alberta hospital edmonton,Hospitals,Edmonton,AB,53.636387,-113.374023,Public Health Agency of Canada
athabasca healthcare centre,Hospitals,Athabasca,AB,54.71724,-113.254056,Public Health Agency of Canada
barrhead community cancer centre,Hospitals,Barrhead,AB,54.1196258,-114.4015147,Province of Alberta
barrhead healthcare centre,Hospitals,Barrhead,AB,54.1197041,-114.4001676,Public Health Agency of Canada
bassano health centre,Hospitals,Bassano,AB,50.7892616,-112.461057,Public Health Agency of Canada
beaverlodge municipal hospital,Hospitals,Beaverlodge,AB,55.2136098,-119.4240928,Public Health Agency of Canada
bentley care centre,Hospitals,Bentley,AB,52.467744,-114.04616,Public Health Agency of Canada
big country health centre,Hospitals,Oyen,AB,55.710472,-116.914222,Public Health Agency of Canada
big country hospital,Hospitals,Oyen,AB,51.351585,-110.478813,Province of Alberta
bonnyville community cancer centre,Hospitals,Bonnyville,AB,54.26373,-110.7393,Province of Alberta
bonnyville health centre,Hospitals,Bonnyville,AB,54.2637533,-110.7414916,Public Health Agency of Canada
bonnyville healthcare centre,Clinics and ambulatory care,Bonnyville,AB,54.26373,-110.7393,Province of Alberta
bow island health centre,Hospitals,Bow Island,AB,49.8655484,-111.3793987,Public Health Agency of Canada
bow valley community cancer centre,Hospitals,Canmore,AB,51.092455,-115.35172,Province of Alberta
boyle healthcare centre,Hospitals,Boyle,AB,54.588366,-112.801974,Canadian Institute for Health Information
boyle mccauley health centre,Hospitals,Edmonton,AB,53.55136,-113.486,Public Health Agency of Canada
breton health centre,Hospitals,Breton,AB,53.1092291,-114.4712943,Public Health Agency of Canada
brooks health centre,Hospitals,Brooks,AB,50.5676564,-111.890977,Public Health Agency of Canada
camrose community cancer centre,Hospitals,Camrose,AB,53.014198,-112.830093,Province of Alberta
canmore general hospital,Hospitals,Canmore,AB,51.09301,-115.350651,Public Health Agency of Canada
cardston health centre,Hospitals,Cardston,AB,49.201947,-113.305761,Public Health Agency of Canada
centennial centre for mental health and brain injury,Hospitals,Ponoka,AB,52.648905,-113.575936,Public Health Agency of Canada
central alberta cancer centre,Hospitals,Red Deer,AB,52.2606267,-113.8183868,Province of Alberta
central peace health complex,Hospitals,Spirit River,AB,55.776981,-118.838754,Public Health Agency of Canada
chinook regional hospital,Hospitals,Lethbridge,AB,49.68535,-112.8151851,Public Health Agency of Canada
claresholm general hospital,Hospitals,Claresholm,AB,50.018656,-113.582623,Public Health Agency of Canada
coaldale health centre,Hospitals,Coaldale,AB,49.725825,-112.607294,Public Health Agency of Canada
cold lake healthcare centre,Hospitals,Cold Lake,AB,54.4658735,-110.199018,Public Health Agency of Canada
consort hospital,Hospitals,Consort,AB,52.0098399,-110.7820183,Public Health Agency of Canada
consort hospital and care centre,Hospitals,Consort,AB,52.0120048,-110.7717888,Province of Alberta
coronation hospital and care centre,Hospitals,Coronation,AB,52.0964213,-111.4597738,Province of Alberta
coronation hspital & care centre,Hospitals,Coronation,AB,52.0962638,-111.459203,Public Health Agency of Canada
covenant health bonnyville health centre,Hospitals,Bonnyville,AB,54.263728,-110.739296,Canadian Institute for Health Information
covenant health grey nuns community hospital,Hospitals,Edmonton,AB,53.462682,-113.432304,Canadian Institute for Health Information
covenant health killam health care centre,Hospitals,Killam,AB,52.788935,-111.859551,Canadian Institute for Health Information
covenant health mineral springs hospital,Hospitals,Banff,AB,51.17925,-115.574865,Canadian Institute for Health Information
covenant health misericordia community hospital,Hospitals,Edmonton,AB,53.522149,-113.613021,Canadian Institute for Health Information
covenant health our lady of the rosary hospital,Hospitals,Castor,AB,52.2234403,-111.9068616,Public Health Agency of Canada
covenant health st. joseph's general hospital [ab],Hospitals,Vegreville,AB,53.494418,-112.033619,Canadian Institute for Health Information
covenant health st. mary's hospital [camrose],Hospitals,Camrose,AB,53.013725,-112.830994,Canadian Institute for Health Information
cross cancer institute,Hospitals,Edmonton,AB,53.5182625,-113.5310786,Public Health Agency of Canada
crowsnest pass health centre,Hospitals,Blairmore,AB,49.6131739,-114.4736247,Public Health Agency of Canada
daysland health centre,Hospitals,Daysland,AB,52.868425,-112.272521,Public Health Agency of Canada
devon general hospital,Hospitals,Devon,AB,53.351493,-113.730785,Public Health Agency of Canada
didsbury district health services,Hospitals,Didsbury,AB,51.661795,-114.123674,Public Health Agency of Canada
dr. cooke extended care centre,Residential and long-term care,Lloydminster,AB,53.273049,-110.019164,Saskatchewan Health Authorities
drayton valley community cancer centre,Hospitals,Drayton Valley,AB,53.212021,-114.969841,Province of Alberta
drayton valley hospital & care centre,Hospitals,Drayton Valley,AB,53.211841,-114.969193,Public Health Agency of Canada
drumheller community cancer centre,Hospitals,Drumheller,AB,51.470875,-112.745003,Province of Alberta
drumheller health centre,Hospitals,Drumheller,AB,51.4698073,-112.7259344,Public Health Agency of Canada
edson healthcare centre,Hospitals,Edson,AB,53.59182,-116.407,Public Health Agency of Canada
