"Product","BasketCategory","BasketWeight","Reason"
"Ground beef, per kilogram","Protein","1","One weekly family meal"
"Whole chicken, per kilogram","Protein","1","One weekly family meal"
"Eggs, 1 dozen","Protein","1","Weekly staple"
"Milk, 2 litres","Dairy","2","Two units per week"
"Block cheese, 500 grams","Dairy","1","Weekly staple"
"Yogurt, 500 grams","Dairy","1","Weekly staple"
"Apples, per kilogram","Produce","1","Core fruit"
"Bananas, per kilogram","Produce","1","Core fruit"
"Potatoes, 4.54 kilograms","Produce","0.25","Approximately one bag per month"
"Tomatoes, per kilogram","Produce","1","Core vegetable"
"Onions, per kilogram","Produce","1","Core vegetable"
"Carrots, 1.36 kilograms","Produce","0.5","Approximately two bags per month"
"White bread, 675 grams","Bakery","2","Two loaves per week"
"White rice, 2 kilograms","Pantry","0.25","Approximately one bag per month"
"Dry or fresh pasta, 500 grams","Pantry","1","Weekly staple"
"Vegetable oil, 3 litres","Pantry","0.125","Approximately one container per two months"
