"REF_DATE","GEO","DGUID","Variable","Sub-sector","Activity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Total activities","Jobs","190","thousands","3","v1047595060","1.1.1.1","2073","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Culture and recreation","Jobs","190","thousands","3","v1047595061","1.1.1.2","63","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Education and research","Jobs","190","thousands","3","v1047595062","1.1.1.3","478","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Health","Jobs","190","thousands","3","v1047595063","1.1.1.4","914","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Social services","Jobs","190","thousands","3","v1047595064","1.1.1.5","257","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Environment","Jobs","190","thousands","3","v1047595065","1.1.1.6","1","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Development and housing","Jobs","190","thousands","3","v1047595066","1.1.1.7","18","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595067","1.1.1.8","10","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595068","1.1.1.9","25","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","International","Jobs","190","thousands","3","v1047595069","1.1.1.10","5","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Religion","Jobs","190","thousands","3","v1047595070","1.1.1.11","77","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Business and professional associations, unions","Jobs","190","thousands","3","v1047595071","1.1.1.12","160","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions","Not elsewhere classified","Jobs","190","thousands","3","v1047595072","1.1.1.13","64","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Total activities","Jobs","190","thousands","3","v1047595255","1.1.2.1","659","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Culture and recreation","Jobs","190","thousands","3","v1047595256","1.1.2.2","63","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Education and research","Jobs","190","thousands","3","v1047595257","1.1.2.3","63","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Health","Jobs","190","thousands","3","v1047595258","1.1.2.4","29","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Social services","Jobs","190","thousands","3","v1047595259","1.1.2.5","142","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Environment","Jobs","190","thousands","3","v1047595260","1.1.2.6","1","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Development and housing","Jobs","190","thousands","3","v1047595261","1.1.2.7","18","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595262","1.1.2.8","10","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595263","1.1.2.9","25","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","International","Jobs","190","thousands","3","v1047595264","1.1.2.10","5","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Religion","Jobs","190","thousands","3","v1047595265","1.1.2.11","77","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Business and professional associations, unions","Jobs","190","thousands","3","v1047595266","1.1.2.12","160","","","","0"
"2007","Canada","2016A000011124","Employment","Total non-profit institutions less government","Not elsewhere classified","Jobs","190","thousands","3","v1047595267","1.1.2.13","64","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Total activities","Jobs","190","thousands","3","v1047595073","2.1.1.1","38","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Culture and recreation","Jobs","190","thousands","3","v1047595074","2.1.1.2","1","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Education and research","Jobs","190","thousands","3","v1047595075","2.1.1.3","9","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Health","Jobs","190","thousands","3","v1047595076","2.1.1.4","20","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Social services","Jobs","190","thousands","3","v1047595077","2.1.1.5","4","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Environment","Jobs","190","thousands","3","v1047595078","2.1.1.6","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Development and housing","Jobs","190","thousands","3","v1047595079","2.1.1.7","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595080","2.1.1.8","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595081","2.1.1.9","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","International","Jobs","190","thousands","3","v1047595082","2.1.1.10","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Religion","Jobs","190","thousands","3","v1047595083","2.1.1.11","1","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Business and professional associations, unions","Jobs","190","thousands","3","v1047595084","2.1.1.12","2","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions","Not elsewhere classified","Jobs","190","thousands","3","v1047595085","2.1.1.13","1","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Total activities","Jobs","190","thousands","3","v1047595268","2.1.2.1","7","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Culture and recreation","Jobs","190","thousands","3","v1047595269","2.1.2.2","1","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Education and research","Jobs","190","thousands","3","v1047595270","2.1.2.3","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Health","Jobs","190","thousands","3","v1047595271","2.1.2.4","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Social services","Jobs","190","thousands","3","v1047595272","2.1.2.5","1","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Environment","Jobs","190","thousands","3","v1047595273","2.1.2.6","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Development and housing","Jobs","190","thousands","3","v1047595274","2.1.2.7","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595275","2.1.2.8","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595276","2.1.2.9","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","International","Jobs","190","thousands","3","v1047595277","2.1.2.10","0","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Religion","Jobs","190","thousands","3","v1047595278","2.1.2.11","1","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Business and professional associations, unions","Jobs","190","thousands","3","v1047595279","2.1.2.12","2","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Employment","Total non-profit institutions less government","Not elsewhere classified","Jobs","190","thousands","3","v1047595280","2.1.2.13","1","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Total activities","Jobs","190","thousands","3","v1047595086","3.1.1.1","10","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Culture and recreation","Jobs","190","thousands","3","v1047595087","3.1.1.2","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Education and research","Jobs","190","thousands","3","v1047595088","3.1.1.3","2","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Health","Jobs","190","thousands","3","v1047595089","3.1.1.4","5","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Social services","Jobs","190","thousands","3","v1047595090","3.1.1.5","1","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Environment","Jobs","190","thousands","3","v1047595091","3.1.1.6","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Development and housing","Jobs","190","thousands","3","v1047595092","3.1.1.7","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595093","3.1.1.8","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595094","3.1.1.9","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","International","Jobs","190","thousands","3","v1047595095","3.1.1.10","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Religion","Jobs","190","thousands","3","v1047595096","3.1.1.11","0","","","","0"
