code,country,income_ppp,income_ppp_year,unemployment,unemployment_year,inflation,inflation_year,health_spend_pc,health_spend_pc_year,urban_share,urban_share_year
ARE,United Arab Emirates,79343.7793099888,2024,2.174,2025,1.250865245598,2025,2401.52026367,2023,85.9617641324017,2025
AUS,Australia,71934.4033931263,2025,4.09,2025,2.87403791660173,2025,6980.38525391,2023,87.7192672666333,2025
CAN,Canada,66745.8248561648,2025,6.907,2025,2.07232411149103,2025,6377.96875,2024,82.8757020253886,2025
CHL,Chile,37774.0879069903,2025,8.974,2025,4.21293601694293,2025,1759.70605469,2024,89.1772830019223,2025
CRI,Costa Rica,33814.7696296148,2025,6.843,2025,-0.073671440596217,2025,1163.30224609,2023,79.7268137993004,2025
CZE,Czechia,60487.2877495391,2025,2.825,2025,2.45996367838865,2025,2692.76416016,2024,72.8754367116112,2025
DEU,Germany,75406.6888111618,2025,3.711,2025,2.17178770949721,2025,6849.26367188,2024,82.13822205362,2025
ESP,Spain,59867.6944716701,2025,10.376,2025,2.699932857627,2025,3106.62011719,2023,80.5149251039138,2025
FRA,France,63975.353585864,2025,7.542,2025,0.943770212469976,2025,5327.43359375,2024,78.8449650563584,2025
GBR,United Kingdom,64606.4955066338,2025,4.746,2025,3.88306881626,2025,5860.23925781,2024,83.323608078271,2025
IRL,Ireland,155089.413131749,2025,4.632,2025,2.21044788475857,2025,7394.85009766,2024,64.5875793756168,2025
JPN,Japan,55421.8797530311,2025,2.451,2025,3.17253034260248,2025,3638.19287109,2023,92.3001449420786,2025
KOR,"Korea, Rep.",63124.9152183625,2025,2.683,2025,2.12309421458659,2025,3136.78564453,2024,81.1740263306674,2025
MEX,Mexico,25868.4787520629,2025,2.673,2025,3.80668650726485,2025,760.98840332,2023,80.0408930629723,2025
NLD,Netherlands,87320.1477254029,2025,3.874,2025,3.2595766451366,2025,6845.14208984,2024,95.9385903481191,2025
NZL,New Zealand,57350.3627657521,2025,5.076,2025,2.8397963180572,2025,5022.03271484,2024,83.9978515774731,2025
POL,Poland,54262.4040405236,2025,2.976,2025,3.81419531520146,2025,2014.12780762,2024,60.0853330309371,2025
PRT,Portugal,53145.7317498942,2025,6.164,2025,2.33601620316701,2025,2971.03930664,2024,61.4953199318985,2025
SGP,Singapore,163353.990260152,2025,2.818,2025,0.902998495002676,2025,3921.60253906,2023,100.0,2025
USA,United States,90026.5163005744,2025,4.198,2025,2.94952520485207,2024,13473.19335938,2023,80.1921733027869,2025
